"id","user_id","course_id","generated_by_rule","exam_mode","total_questions","duration_minutes","started_at","submitted_at","score","status","created_at","updated_at"
"1","1","2",,"mock","10","30","""2026-05-25T14:17:54.251Z""","""2026-05-26T08:28:49.057Z""","0","submitted","""2026-05-25T14:17:53.619Z""","""2026-05-26T08:28:49.057Z"""
"2","1","4",,"mock","5","30","""2026-05-26T08:25:09.967Z""","""2026-05-26T08:28:27.629Z""","46.67","submitted","""2026-05-26T08:25:09.813Z""","""2026-05-26T08:28:27.629Z"""
"3","1","2",,"mock","5","30","""2026-05-26T08:29:26.272Z""","""2026-05-26T08:30:26.974Z""","5.55","submitted","""2026-05-26T08:29:26.136Z""","""2026-05-26T08:30:26.974Z"""
"4","1","3",,"mock","10","30","""2026-05-26T09:05:40.315Z""","""2026-05-26T15:08:51.506Z""","0","submitted","""2026-05-26T09:05:39.950Z""","""2026-05-26T15:08:51.506Z"""
"5","1","14",,"mock","10","50","""2026-05-26T15:16:51.059Z""","""2026-06-01T10:03:37.088Z""","0","submitted","""2026-05-26T15:16:50.871Z""","""2026-06-01T10:03:37.088Z"""
"6","1","14",,"mock","10","30","""2026-06-07T10:21:24.118Z""",,,"in_progress","""2026-06-07T10:21:23.861Z""","""2026-06-07T10:21:24.118Z"""
"7","205","46",,"mock","10","30","""2026-06-07T14:35:56.636Z""","""2026-06-07T14:36:29.026Z""","12.5","submitted","""2026-06-07T14:35:56.445Z""","""2026-06-07T14:36:29.026Z"""
"8","205","51",,"mock","10","30","""2026-06-07T14:37:22.991Z""",,,"in_progress","""2026-06-07T14:37:22.838Z""","""2026-06-07T14:37:22.991Z"""
